pressure_category,Sum of total_system_load,,,
High Pressure,2113627,47%,,
Low Pressure,507807,11%,,
Moderate Pressure,1866160,42%,,
Grand Total,4487594,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Years,Quarters,clean_report_date,pressure_category,Sum of total_system_load
2023,Qtr1,Jan,Moderate Pressure,59308
,,Jan Total,,59308
,,Feb,High Pressure,89149
,,,Moderate Pressure,62226
,,Feb Total,,151375
,,Mar,High Pressure,147822
,,,Moderate Pressure,7797
,,Mar Total,,155619
,Qtr1 Total,,,366302
,Qtr2,Apr,High Pressure,123665
,,,Moderate Pressure,46285
,,Apr Total,,169950
,,May,High Pressure,132324
,,,Moderate Pressure,52566
,,May Total,,184890
,,Jun,Moderate Pressure,125642
,,Jun Total,,125642
,Qtr2 Total,,,480482
,Qtr3,Jul,High Pressure,16102
,,,Moderate Pressure,132439
,,Jul Total,,148541
,,Aug,High Pressure,191702
,,Aug Total,,191702
,,Sep,High Pressure,208855
,,Sep Total,,208855
,Qtr3 Total,,,549098
,Qtr4,Oct,High Pressure,226781
,,Oct Total,,226781
,,Nov,High Pressure,198192
,,Nov Total,,198192
,,Dec,High Pressure,213850
,,Dec Total,,213850
,Qtr4 Total,,,638823
2023 Total,,,,2034705
2024,Qtr1,Jan,High Pressure,198476
,,Jan Total,,198476
,,Feb,High Pressure,175336
,,Feb Total,,175336
,,Mar,High Pressure,175270
,,,Moderate Pressure,7511
,,Mar Total,,182781
,Qtr1 Total,,,556593
,Qtr2,Apr,Moderate Pressure,161399
,,Apr Total,,161399
,,May,Moderate Pressure,164557
,,May Total,,164557
,,Jun,High Pressure,16103
,,,Moderate Pressure,145418
,,Jun Total,,161521
,Qtr2 Total,,,487477
,Qtr3,Jul,Moderate Pressure,136474
,,Jul Total,,136474
,,Aug,Moderate Pressure,118916
,,Aug Total,,118916
,,Sep,Moderate Pressure,141958
,,Sep Total,,141958
,Qtr3 Total,,,397348
,Qtr4,Oct,Moderate Pressure,131802
,,Oct Total,,131802
,,Nov,Moderate Pressure,116877
,,Nov Total,,116877
,,Dec,Moderate Pressure,147189
,,Dec Total,,147189
,Qtr4 Total,,,395868
2024 Total,,,,1837286
2025,Qtr1,Jan,Low Pressure,3965
,,,Moderate Pressure,107796
,,Jan Total,,111761
,,Feb,Low Pressure,53280
,,Feb Total,,53280
,,Mar,Low Pressure,48090
,,Mar Total,,48090
,Qtr1 Total,,,213131
,Qtr2,Apr,Low Pressure,52854
,,Apr Total,,52854
,,May,Low Pressure,43916
,,May Total,,43916
,,Jun,Low Pressure,42695
,,Jun Total,,42695
,Qtr2 Total,,,139465
,Qtr3,Jul,Low Pressure,46224
,,Jul Total,,46224
,,Aug,Low Pressure,40538
,,Aug Total,,40538
,,Sep,Low Pressure,46597
,,Sep Total,,46597
,Qtr3 Total,,,133359
,Qtr4,Oct,Low Pressure,47573
,,Oct Total,,47573
,,Nov,Low Pressure,44853
,,Nov Total,,44853
,,Dec,Low Pressure,37222
,,Dec Total,,37222
,Qtr4 Total,,,129648
2025 Total,,,,615603
Grand Total,,,,4487594
